Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[cultivar]	Sample Characteristic Ontology Term[cultivar]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[environmental stress]	Factor Value Ontology Term[environmental stress]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Analysed
ERR1250697	7 week		GF677		Prunus persica	http://purl.obolibrary.org/obo/NCBITaxon_3760	root	http://purl.obolibrary.org/obo/PO_0009005	none	http://www.ebi.ac.uk/efo/EFO_0001461	root	http://purl.obolibrary.org/obo/PO_0009005	Yes
ERR1250698	7 week		GF677		Prunus persica	http://purl.obolibrary.org/obo/NCBITaxon_3760	root	http://purl.obolibrary.org/obo/PO_0009005	none	http://www.ebi.ac.uk/efo/EFO_0001461	root	http://purl.obolibrary.org/obo/PO_0009005	Yes
ERR1250699	7 week		GF677		Prunus persica	http://purl.obolibrary.org/obo/NCBITaxon_3760	root	http://purl.obolibrary.org/obo/PO_0009005	none	http://www.ebi.ac.uk/efo/EFO_0001461	root	http://purl.obolibrary.org/obo/PO_0009005	Yes
ERR1250700	7 week		GF677		Prunus persica	http://purl.obolibrary.org/obo/NCBITaxon_3760	root	http://purl.obolibrary.org/obo/PO_0009005	drought environment	http://purl.obolibrary.org/obo/EO_0007404	root	http://purl.obolibrary.org/obo/PO_0009005	Yes
ERR1250701	7 week		GF677		Prunus persica	http://purl.obolibrary.org/obo/NCBITaxon_3760	root	http://purl.obolibrary.org/obo/PO_0009005	drought environment	http://purl.obolibrary.org/obo/EO_0007404	root	http://purl.obolibrary.org/obo/PO_0009005	Yes
ERR1250702	7 week		GF677		Prunus persica	http://purl.obolibrary.org/obo/NCBITaxon_3760	root	http://purl.obolibrary.org/obo/PO_0009005	drought environment	http://purl.obolibrary.org/obo/EO_0007404	root	http://purl.obolibrary.org/obo/PO_0009005	Yes
ERR1250703	7 week		Catherina		Prunus persica	http://purl.obolibrary.org/obo/NCBITaxon_3760	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
ERR1250704	7 week		Catherina		Prunus persica	http://purl.obolibrary.org/obo/NCBITaxon_3760	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
ERR1250705	7 week		Catherina		Prunus persica	http://purl.obolibrary.org/obo/NCBITaxon_3760	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
ERR1250706	7 week		Catherina		Prunus persica	http://purl.obolibrary.org/obo/NCBITaxon_3760	leaf	http://purl.obolibrary.org/obo/PO_0025034	drought environment	http://purl.obolibrary.org/obo/EO_0007404	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
ERR1250707	7 week		Catherina		Prunus persica	http://purl.obolibrary.org/obo/NCBITaxon_3760	leaf	http://purl.obolibrary.org/obo/PO_0025034	drought environment	http://purl.obolibrary.org/obo/EO_0007404	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
ERR1250708	7 week		Catherina		Prunus persica	http://purl.obolibrary.org/obo/NCBITaxon_3760	leaf	http://purl.obolibrary.org/obo/PO_0025034	drought environment	http://purl.obolibrary.org/obo/EO_0007404	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
