# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 2 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-ENAD-3
# Timestamp: Mon, 17-Nov-2025 13:52:35
Gene ID	Gene Name	'drought environment' vs 'none' in 'leaf' .foldChange	'drought environment' vs 'none' in 'leaf'.pValue	'drought environment' vs 'none' in 'root' .foldChange	'drought environment' vs 'none' in 'root'.pValue
ENSRNA049760960	tRNA-Gly			0.7	0.492353385759484
ENSRNA049996202	ppe-MIR482b			0.1	0.932497908317804
ENSRNA049996241	ppe-MIR156d			1.5	0.0337563633536128
ENSRNA049996556	ppe-MIR156f			0.8	0.358722352480989
ENSRNA049996563	ppe-MIR156h			0.8	0.395495126068803
ENSRNA049996610	ppe-MIR5225			-0.2	0.909246818334992
ENSRNA049996627	ppe-MIR156i			1.2	0.0754658982872916
ENSRNA049996654	ppe-MIR397	0.2	0.989316751194036	0.9	0.00796138177788518
ENSRNA049996784	ppe-MIR6267c			1.4	0.00927313850495371
ENSRNA049996813	ppe-MIR398a	0.5	0.0986947648785578	0.6	0.188240187656498
ENSRNA049996833	ppe-MIR168			-0.3	0.808709897340291
ENSRNA049996862	ppe-MIR399a			1.1	0.221990556003811
ENSRNA049996904	ppe-MIR171g			-0.9	0.179212000986038
ENSRNA049996946	ppe-MIR858			-0.3	0.854671687560132
ENSRNA049997029	ppe-MIR164a			1.1	0.0608559573747802
ENSRNA049997062	ppe-MIR6274b			0.4	0.788176374368503
ENSRNA049997151	ppe-MIR827	1.9	5.02366435880076E-14	0.8	0.238048381334205
ENSRNA049997210	ppe-MIR167b			0.7	0.520890293231761
ENSRNA050002981	Intron_gpII	0.1	0.998696915227065	0.5	0.498088936250872
ENSRNA050002995	U6			0.1	0.949905588142141
ENSRNA050003068	LSU_rRNA_eukarya			-0.3	0.848171883314038
ENSRNA050003075	LSU_rRNA_eukarya			-0.4	0.645783661912062
ENSRNA050003082	Plant_SRP			0.1	0.96982097297221
ENSRNA050003090	5_8S_rRNA			0.4	0.799386716335224
ENSRNA050003098	SSU_rRNA_eukarya	0.3	0.989733809524351	-0.2	0.841102662974214
ENSRNA050003136	SSU_rRNA_eukarya			0.5	0.579990047321537
ENSRNA050003138	SNORD24			0.1	0.975494197141276
ENSRNA050003146	snoR136			0.1	0.94264338248672
ENSRNA050003167	MIR530	0.8	0.0060264070816444		
ENSRNA050003214	LSU_rRNA_eukarya	0.1	0.998696915227065	-0.1	0.852433326894273
ENSRNA050003226	snoU61			-0.2	0.912102684259794
ENSRNA050003249	snoR14			0.1	0.958459248944997
ENSRNA050003267	LSU_rRNA_eukarya			-0.7	0.537942883997989
ENSRNA050003270	LSU_rRNA_eukarya			-0.4	0.538095278461733
ENSRNA050003443	SNORD14			-0.4	0.772551172885744
ENSRNA050003454	SNORD14			-0.2	0.889475967259983
ENSRNA050003459	SNORD14			-0.2	0.909607220985485
ENSRNA050003470	LSU_rRNA_eukarya			-0.2	0.913717083967207
ENSRNA050003519	snoZ266			0.1	0.967178094991748
ENSRNA050003608	MIR159			0.3	0.758548060390036
ENSRNA050003625	snoZ107_R87	-0.3	0.936024017635539	-0.3	0.825279037716784
ENSRNA050003631	snoR30	-0.3	0.983770195582392	-0.1	0.975976702923082
ENSRNA050003656	snoR31	-0.4	0.658621590958416		
ENSRNA050003667	LSU_rRNA_eukarya	0.1	0.998696915227065	-0.4	0.254036752111908
ENSRNA050003674	LSU_rRNA_eukarya			-0.6	0.606320522117229
ENSRNA050003686	enod40	-0.2	0.932133238571739	-0.5	0.157978755244477
ENSRNA050003802	snoU83			0.4	0.742038382457194
ENSRNA050003805	snosnR60_Z15			0.2	0.883354413457312
ENSRNA050003812	snoR103			0.3	0.832110608216246
ENSRNA050003814	snoZ43			0.3	0.802314904402202
ENSRNA050004025	LSU_rRNA_eukarya	0.2	0.892558129482047	-0.4	0.328950183889191
ENSRNA050004049	Plant_SRP			0.8	0.39587277484368
ENSRNA050004068	U2			-0.9	0.325808077709138
ENSRNA050004073	U2			-0.1	0.94268794555473
ENSRNA050004109	snoZ279_R105_R108			-0.5	0.697496646982537
ENSRNA050004119	snoR103			0.4	0.810566949257334
ENSRNA050004128	snoR20a			0.3	0.840784342399697
ENSRNA050004162	mir-399	2.6	2.54551639731089E-22		
ENSRNA050004189	Intron_gpII	0.2	0.998696915227065	0.7	0.433877799608661
PRUPE_1G000100	PRUPE_1G000100			0.3	0.70806455963039
PRUPE_1G000300	PRUPE_1G000300			0.2	0.783487479767231
PRUPE_1G000400	PRUPE_1G000400	0.4	0.60209745365304		
PRUPE_1G000500	PRUPE_1G000500			-0.4	0.738419524590075
PRUPE_1G000800	PRUPE_1G000800			-0.2	0.624780661940578
PRUPE_1G000900	PRUPE_1G000900			-0.5	0.39516902409261
PRUPE_1G001000	PRUPE_1G001000			-0.2	0.715615516499645
PRUPE_1G001100	PRUPE_1G001100			0.3	0.666360738606218
PRUPE_1G001200	PRUPE_1G001200			-0.3	0.51269325524464
PRUPE_1G001300	PRUPE_1G001300	0.1	0.998696915227065	-0.3	0.46363683281099
PRUPE_1G001600	PRUPE_1G001600			0.5	0.599325767805503
PRUPE_1G001800	PRUPE_1G001800	0.2	0.998696915227065	0.7	0.1338454867457
PRUPE_1G002100	PRUPE_1G002100			0.4	0.591694291598044
PRUPE_1G002300	PRUPE_1G002300			-0.2	0.860256645315734
PRUPE_1G002400	PRUPE_1G002400			0.4	0.552525527743947
PRUPE_1G002500	PRUPE_1G002500	0.1	0.998696915227065	-1.2	3.41517244145974E-10
PRUPE_1G002700	PRUPE_1G002700	-0.1	0.998696915227065	0.5	0.380786446312863
PRUPE_1G002800	PRUPE_1G002800			0.1	0.86004373186561
PRUPE_1G002900	PRUPE_1G002900			-0.7	0.415492413619419
PRUPE_1G003000	PRUPE_1G003000	-0.4	0.554337427759444	-0.6	0.484603942850528
PRUPE_1G003100	PRUPE_1G003100			-0.3	0.536681706701549
PRUPE_1G003200	PRUPE_1G003200	-0.2	0.998696915227065		
PRUPE_1G003300	PRUPE_1G003300			-0.3	0.373896815528558
PRUPE_1G003400	PRUPE_1G003400			0.1	0.977224448027244
PRUPE_1G003600	PRUPE_1G003600	-0.1	0.998696915227065	-0.2	0.795174660444627
PRUPE_1G003900	PRUPE_1G003900	-0.4	0.688605476774093	-0.5	0.273748259462317
PRUPE_1G004000	PRUPE_1G004000			-0.4	0.712186076155842
PRUPE_1G004400	PRUPE_1G004400			-0.2	0.815648038840676
PRUPE_1G004700	PRUPE_1G004700			-0.2	0.722711575315263
PRUPE_1G004800	PRUPE_1G004800	-0.1	0.998696915227065	-0.3	0.598773092467201
PRUPE_1G004900	PRUPE_1G004900	0.2	0.903546645618656	0.2	0.886185963882397
PRUPE_1G005000	PRUPE_1G005000			-0.3	0.482480877548329
PRUPE_1G005400	PRUPE_1G005400			0.4	0.62397406927616
PRUPE_1G005800	PRUPE_1G005800	0.3	0.921546559377112	0.2	0.888996989028103
PRUPE_1G005900	PRUPE_1G005900			0.3	0.834419437760302
PRUPE_1G006000	PRUPE_1G006000			-0.3	0.864162291903493
PRUPE_1G006100	PRUPE_1G006100	-0.4	0.60209745365304	-0.1	0.889305948131478
PRUPE_1G006300	PRUPE_1G006300			0.3	0.724351001719673
PRUPE_1G006400	PRUPE_1G006400	0.3	0.888651873385688	0.1	0.928955193032664
PRUPE_1G006500	PRUPE_1G006500	-0.1	0.998696915227065	-0.1	0.870576425937344
PRUPE_1G006700	PRUPE_1G006700	-0.1	0.998696915227065	-0.4	0.374136107844017
PRUPE_1G006800	PRUPE_1G006800			1.0	0.222849003684292
PRUPE_1G006900	PRUPE_1G006900			-0.1	0.948981946342863
PRUPE_1G007000	PRUPE_1G007000	-0.2	0.97946936113425	-0.3	0.583331075020185
PRUPE_1G007100	PRUPE_1G007100			0.5	0.395917162755786
PRUPE_1G007200	PRUPE_1G007200			0.3	0.620041944836918
PRUPE_1G008000	PRUPE_1G008000	0.1	0.998696915227065	0.2	0.703422639059423
PRUPE_1G008300	PRUPE_1G008300			-0.8	0.273662019049274
PRUPE_1G008400	PRUPE_1G008400			0.6	0.534544809856195
PRUPE_1G008500	PRUPE_1G008500	-0.4	0.17016393158371	-0.5	0.222854379194887
PRUPE_1G008700	PRUPE_1G008700			-0.2	0.758548060390036
PRUPE_1G008800	PRUPE_1G008800			0.4	0.685667273666622
PRUPE_1G008900	PRUPE_1G008900			0.5	0.6614681043505
PRUPE_1G009000	PRUPE_1G009000	-0.2	0.928457533533356	0.3	0.61220400319334
PRUPE_1G009200	PRUPE_1G009200			-0.6	0.63078037649946
PRUPE_1G009400	PRUPE_1G009400			-0.1	0.940178733739027
PRUPE_1G009500	PRUPE_1G009500	-0.1	0.998696915227065	-0.4	0.381615071636396
PRUPE_1G009600	PRUPE_1G009600			1.2	0.10830387004664
PRUPE_1G010200	PRUPE_1G010200			0.1	0.915989323458424
PRUPE_1G010300	PRUPE_1G010300	0.2	0.998696915227065	0.2	0.790089813257089
PRUPE_1G010400	PRUPE_1G010400	-0.1	0.998696915227065	-0.2	0.39858077714576
PRUPE_1G010500	PRUPE_1G010500	0.1	0.998696915227065	-0.2	0.517023825189288
PRUPE_1G010600	PRUPE_1G010600			0.1	0.939350577347962
PRUPE_1G010700	PRUPE_1G010700			0.5	0.703422639059423
PRUPE_1G010800	PRUPE_1G010800			0.1	0.971685192725693
PRUPE_1G010900	PRUPE_1G010900			0.2	0.915989323458424
PRUPE_1G011000	PRUPE_1G011000			-0.5	0.666532267361089
PRUPE_1G011100	PRUPE_1G011100			-0.5	0.697100461032029
PRUPE_1G011200	PRUPE_1G011200			0.2	0.714140083378846
PRUPE_1G011300	PRUPE_1G011300	0.4	0.591625509390586	0.3	0.592922395098833
PRUPE_1G011500	PRUPE_1G011500	0.2	0.848381027484128	-0.2	0.876093900175263
PRUPE_1G011600	PRUPE_1G011600			0.5	0.209828666292937
PRUPE_1G011700	PRUPE_1G011700			0.4	0.533690699834487
PRUPE_1G011800	PRUPE_1G011800			-0.2	0.646916107451267
PRUPE_1G011900	PRUPE_1G011900			-2.3	1.50905871902732E-5
PRUPE_1G012000	PRUPE_1G012000			-0.1	0.944554577104561
PRUPE_1G012100	PRUPE_1G012100			0.7	0.515376173293054
PRUPE_1G012200	PRUPE_1G012200			-0.2	0.895389649217476
PRUPE_1G012500	PRUPE_1G012500			-0.1	0.935970122358067
PRUPE_1G012700	PRUPE_1G012700			0.2	0.841817599672046
PRUPE_1G012800	PRUPE_1G012800			0.6	0.471988535793161
PRUPE_1G012900	PRUPE_1G012900			1.0	0.0474399659374782
PRUPE_1G013000	PRUPE_1G013000			-0.6	0.268930526654322
PRUPE_1G013100	PRUPE_1G013100	-0.5	0.362766553257787	-0.4	0.68658045703731
PRUPE_1G013200	PRUPE_1G013200			0.3	0.457298405560271
PRUPE_1G013300	PRUPE_1G013300	0.2	0.953184174643378	-0.4	0.449456892398073
PRUPE_1G013400	PRUPE_1G013400	-0.2	0.998696915227065	0.3	0.824879571826161
PRUPE_1G013500	PRUPE_1G013500	0.1	0.998696915227065	-0.4	0.478860222441633
PRUPE_1G013600	PRUPE_1G013600			0.2	0.781453877251462
PRUPE_1G013800	PRUPE_1G013800			-0.5	0.710714155723792
PRUPE_1G013900	PRUPE_1G013900	0.1	0.998696915227065	-0.3	0.789057217321524
PRUPE_1G014000	PRUPE_1G014000	0.1	0.998696915227065	-0.5	0.020316943855819
PRUPE_1G014100	PRUPE_1G014100	0.2	0.954974664801592	0.4	0.427506844904125
PRUPE_1G014300	PRUPE_1G014300			-0.1	0.83056851732082
PRUPE_1G014400	PRUPE_1G014400	-0.1	0.998696915227065	-0.6	0.518280605802852
PRUPE_1G014600	PRUPE_1G014600			0.2	0.904049735213235
PRUPE_1G014900	PRUPE_1G014900			-0.3	0.566787683109838
PRUPE_1G015100	PRUPE_1G015100			0.1	0.96202329986929
PRUPE_1G015300	PRUPE_1G015300	0.6	0.105992721634711	0.3	0.469408645882565
PRUPE_1G015400	PRUPE_1G015400	0.1	0.998696915227065	-0.4	0.451889503318658
PRUPE_1G015500	PRUPE_1G015500	-0.2	0.960270871931415	-0.1	0.903455562106344
PRUPE_1G015600	PRUPE_1G015600			0.3	0.76720624504735
PRUPE_1G015700	PRUPE_1G015700			0.3	0.847481344720674
PRUPE_1G015800	PRUPE_1G015800	-0.7	0.131672264655035	-0.5	0.448256576540282
PRUPE_1G015900	PRUPE_1G015900	0.1	0.998696915227065	-0.1	0.890661988202359
PRUPE_1G016000	PRUPE_1G016000	-0.1	0.998696915227065		
PRUPE_1G016200	PRUPE_1G016200			-0.2	0.902488747440113
PRUPE_1G016400	PRUPE_1G016400			-0.6	0.587244091418887
PRUPE_1G016500	PRUPE_1G016500			-1.7	8.03555938051743E-4
PRUPE_1G016600	PRUPE_1G016600			-2.1	3.14431964950904E-8
PRUPE_1G016700	PRUPE_1G016700			-2.6	1.06998253120613E-10
PRUPE_1G016800	PRUPE_1G016800			-0.5	0.44183115922583
PRUPE_1G016900	PRUPE_1G016900			1.9	4.26161523829277E-9
PRUPE_1G017000	PRUPE_1G017000			1.7	3.07019587491196E-4
PRUPE_1G017300	PRUPE_1G017300			-0.2	0.872064067863089
PRUPE_1G017400	PRUPE_1G017400	-0.1	0.998696915227065	-0.4	0.198224280376637
PRUPE_1G018200	PRUPE_1G018200			0.3	0.771622468287008
PRUPE_1G018400	PRUPE_1G018400			-0.1	0.903295488805779
PRUPE_1G018500	PRUPE_1G018500	-0.1	0.998696915227065	0.1	0.945928297279186
PRUPE_1G018600	PRUPE_1G018600			-0.1	0.918376946048175
PRUPE_1G018700	PRUPE_1G018700			-0.6	0.593352344415919
PRUPE_1G019000	PRUPE_1G019000	0.2	0.998696915227065	0.2	0.686525440097417
PRUPE_1G019100	PRUPE_1G019100			0.8	0.0202749241869938
PRUPE_1G019400	PRUPE_1G019400	-0.1	0.998696915227065	0.5	0.234498778880699
PRUPE_1G019500	PRUPE_1G019500	-0.1	0.998696915227065	-0.5	0.220401257152178
PRUPE_1G019600	PRUPE_1G019600			-0.4	0.641342791175469
PRUPE_1G019700	PRUPE_1G019700			0.3	0.793695035307103
PRUPE_1G019800	PRUPE_1G019800	0.2	0.998696915227065	-0.3	0.638963424006094
PRUPE_1G019900	PRUPE_1G019900	-0.7	0.0398745897312462	0.3	0.832085141060478
PRUPE_1G020200	PRUPE_1G020200			-1.2	0.0169765902555177
PRUPE_1G020300	PRUPE_1G020300	-0.1	0.998696915227065	0.4	0.572237514292342
PRUPE_1G020600	PRUPE_1G020600	0.3	0.819549714127479	0.1	0.951481161963489
PRUPE_1G020700	PRUPE_1G020700			-0.1	0.890661988202359
PRUPE_1G020900	PRUPE_1G020900			0.2	0.81342207216114
PRUPE_1G021000	PRUPE_1G021000	0.3	0.610972720139459	-0.7	0.0458907065168755
PRUPE_1G021100	PRUPE_1G021100	0.3	0.544843591869177	-0.4	0.332459334210371
PRUPE_1G021200	PRUPE_1G021200			-0.9	0.113107742366168
PRUPE_1G021300	PRUPE_1G021300			0.1	0.954973120715096
PRUPE_1G021400	PRUPE_1G021400	0.2	0.998696915227065		
PRUPE_1G021800	PRUPE_1G021800			-0.2	0.932497908317804
PRUPE_1G021900	PRUPE_1G021900			-0.5	0.222358735764689
PRUPE_1G022000	PRUPE_1G022000			-0.5	0.64461878057227
PRUPE_1G022100	PRUPE_1G022100			-0.3	0.788176374368503
PRUPE_1G022300	PRUPE_1G022300	0.1	0.998696915227065	-0.3	0.487685288463131
PRUPE_1G022400	PRUPE_1G022400	-0.1	0.998696915227065	-0.4	0.460104314958676
