,lfc_R,lfc_atlas,lfc_difference,padj_R,padj_atlas,Direction_R,Direction_atlas,Direction_match
PRUPE_4G035600,-8.84468491622357,-2.0,6.844684916223571,5.45110361208953e-06,0.0011089036901129,Down,Down,True
PRUPE_1G036600,-6.36657667742657,-0.8,5.56657667742657,0.0391338041160721,0.33088733300088,Down,Down,True
PRUPE_1G341900,-7.211705820824,-1.8,5.411705820824,0.000173051091872,0.003737163168797,Down,Down,True
PRUPE_8G110900,-6.85404495344365,-1.7,5.15404495344365,1.31972347507315e-05,0.0078607167477619,Down,Down,True
PRUPE_7G152100,5.37532794465546,1.2,4.17532794465546,0.0325983455257004,0.0932969621878965,Up,Up,True
PRUPE_8G074700,-5.30381955323648,-1.2,4.103819553236479,0.0339589854991045,0.0933669833017886,Down,Down,True
PRUPE_3G277500,7.86139413674176,3.8,4.06139413674176,6.94167398423768e-08,1.36141126348731e-13,Up,Up,True
PRUPE_1G088500,6.3489870755154,2.3,4.0489870755154005,0.00027649876536,0.000107730302496138,Up,Up,True
PRUPE_4G066200,5.83651096372471,1.8,4.0365109637247105,0.002691708021513,0.0037555634716774,Up,Up,True
PRUPE_6G175500,-5.53544491384515,-1.5,4.03544491384515,0.0098514541479393,0.0241596322977742,Down,Down,True
PRUPE_1G127400,-6.27643270137517,-2.3,3.9764327013751704,0.0005251836421727,0.000119687994283112,Down,Down,True
PRUPE_I003200,-5.77173498264287,-1.9,3.8717349826428697,0.0023837236553166,0.0031116567305281,Down,Down,True
PRUPE_6G289300,-5.26026202346756,-1.4,3.8602620234675604,0.0024300564026841,0.0401548722338654,Down,Down,True
ENSRNA049996241,5.31541310945894,1.5,3.81541310945894,0.0176934326114566,0.0337563633536128,Up,Up,True
PRUPE_1G131500,4.9728219120351,1.3,3.6728219120351,0.0374364038116172,0.0661870217781764,Up,Up,True
PRUPE_3G209600,-5.31021374004292,-1.7,3.61021374004292,0.0078900531985591,0.0104816449645412,Down,Down,True
PRUPE_6G045200,-5.29933526974812,-1.7,3.59933526974812,0.009268619922805,0.0135514547245976,Down,Down,True
PRUPE_4G151200,-5.17199221778597,-1.6,3.57199221778597,0.0174323287506898,0.0196861556258805,Down,Down,True
PRUPE_1G558600,-6.06775086749313,-2.5,3.56775086749313,0.0005157869799937,3.10411966762938e-05,Down,Down,True
PRUPE_3G035200,-5.61054858020409,-2.2,3.4105485802040896,0.0018828489284416,0.000251678961990842,Down,Down,True
PRUPE_4G171900,-4.91837413427232,-1.7,3.21837413427232,0.017155147376133,0.0115068094186092,Down,Down,True
PRUPE_8G185200,4.52124831089387,1.5,3.0212483108938697,0.0350526251849563,0.0273018583866754,Up,Up,True
PRUPE_8G112000,-4.81585567896981,-1.8,3.0158556789698103,0.0112716005326102,0.0076613865024811,Down,Down,True
PRUPE_7G038200,-4.56858002287806,-1.6,2.96858002287806,0.0320935031400996,0.0222531564846966,Down,Down,True
PRUPE_6G328000,-4.67264476433899,-1.8,2.8726447643389905,0.0200336270400962,0.0081421281177348,Down,Down,True
PRUPE_3G227900,4.27150272836267,1.5,2.7715027283626696,0.0395200683817369,0.0253153532762235,Up,Up,True
PRUPE_4G125900,4.83710101797005,2.2,2.63710101797005,0.0019000968509729,0.000176893308720653,Up,Up,True
PRUPE_1G127200,-4.46171341959503,-1.9,2.5617134195950304,0.0005328479863663,0.0030206798136073,Down,Down,True
PRUPE_1G356000,-4.15804956460484,-1.6,2.5580495646048402,0.0129485766727324,0.0176209620114311,Down,Down,True
PRUPE_8G017200,-5.35187781165933,-2.8,2.55187781165933,6.54629865885359e-08,1.23699278314962e-06,Down,Down,True
PRUPE_4G245500,-3.84672385067777,-1.5,2.34672385067777,0.0133183348460943,0.0344939754846926,Down,Down,True
PRUPE_1G296100,-4.3405981283973,-2.0,2.3405981283973,0.0012404154982297,0.0013804782039285,Down,Down,True
PRUPE_4G166200,-3.90347987067521,-1.6,2.30347987067521,0.0260692738060182,0.02165428961255,Down,Down,True
PRUPE_1G128300,-4.68028810250269,-2.4,2.28028810250269,9.13686109975781e-05,4.21092857274131e-05,Down,Down,True
PRUPE_8G143500,3.6207027792038,1.4,2.2207027792038,0.0486095474515855,0.0534034631212241,Up,Up,True
PRUPE_1G439100,4.20980515720772,2.0,2.20980515720772,0.0017143884000991,0.0014643528691975,Up,Up,True
PRUPE_6G015600,-3.99000194512479,-1.8,2.1900019451247896,0.0262515528509302,0.0068798924512514,Down,Down,True
PRUPE_1G128500,-4.26828282328158,-2.1,2.16828282328158,0.0002106236595322,0.000819579352529325,Down,Down,True
PRUPE_5G041400,3.63490034869447,1.5,2.13490034869447,0.0454980492030458,0.0283082678950396,Up,Up,True
PRUPE_8G112400,-4.7276112125667,-2.6,2.1276112125666997,3.37092689695484e-06,4.38325479293638e-06,Down,Down,True
PRUPE_6G030600,-4.39569729477633,-2.3,2.09569729477633,0.0007497887686799,5.22829482899269e-05,Down,Down,True
PRUPE_3G229300,-5.77928824152056,-3.7,2.07928824152056,6.13420769914709e-13,6.195085992585551e-14,Down,Down,True
PRUPE_2G312300,4.07421268425261,2.0,2.0742126842526103,0.0028404413823133,0.0013451183248033,Up,Up,True
PRUPE_6G098100,-5.06842020381036,-3.0,2.0684202038103603,1.69859358232951e-08,1.0280696413482e-08,Down,Down,True
PRUPE_8G093600,-3.72487629914076,-1.7,2.02487629914076,0.0151586517035623,0.0117305599650101,Down,Down,True
PRUPE_4G181500,3.60936859368055,1.6,2.00936859368055,0.0082033234105457,0.0159994152632877,Up,Up,True
PRUPE_1G587100,-3.87752868856469,-1.9,1.97752868856469,0.0099911817351667,0.0034055645051535,Down,Down,True
PRUPE_1G208700,4.1662529231611,2.2,1.9662529231610995,0.001380233682313,0.000185963433213232,Up,Up,True
PRUPE_5G238500,3.81358745785478,1.9,1.91358745785478,0.0070763233069952,0.0035635478661343,Up,Up,True
PRUPE_7G193500,-3.38911237513674,-1.5,1.8891123751367398,0.0253909587917576,0.0279732282076497,Down,Down,True
PRUPE_3G228900,-6.1744000930403,-4.3,1.8744000930403004,7.347367419035171e-20,7.90093480562862e-20,Down,Down,True
PRUPE_8G095800,3.47069568951568,1.6,1.87069568951568,0.0220807826182587,0.01597411543491,Up,Up,True
PRUPE_3G041700,-3.44922263033115,-1.6,1.84922263033115,0.0251251536036187,0.0249865883404492,Down,Down,True
PRUPE_8G117700,-3.73324917535316,-1.9,1.83324917535316,0.0063602841842409,0.0032163975066243,Down,Down,True
PRUPE_5G096400,3.93060703283903,2.1,1.8306070328390298,0.002724115779649,0.000505839321526919,Up,Up,True
PRUPE_4G230400,-3.32804206908904,-1.5,1.8280420690890402,0.03545723885739,0.0370128864729317,Down,Down,True
PRUPE_6G305300,-4.11692915293535,-2.3,1.8169291529353497,0.0001003607562568,5.42764341202436e-05,Down,Down,True
PRUPE_4G165500,-3.40696686086895,-1.6,1.80696686086895,0.0100102232906857,0.0172283073371854,Down,Down,True
PRUPE_3G229700,-3.68266967783137,-1.9,1.78266967783137,0.0035313663769955,0.0031460769913009,Down,Down,True
PRUPE_6G273700,-3.27524937856651,-1.5,1.7752493785665102,0.0340772999006273,0.0410904228261203,Down,Down,True
PRUPE_7G239200,-3.87241496698316,-2.1,1.7724149669831597,0.0003679335124964,0.000803792855107144,Down,Down,True
PRUPE_6G038200,-3.46140878169246,-1.7,1.7614087816924602,0.0046676821096434,0.008346623569123,Down,Down,True
